MONTH,CITY,TRIPS,GROSS BOOKINGS (GB),SHOPPING SESSIONS,RIDERS WITH SESSIONS,REQUESTING SESSIONS,REQUESTS,ACTIVE DRIVERS,SUPPLY HOURS,C/R,C/RS,RS/SS,C/SS,ACCEPTANCE RATE,DRIVER CANCELATION,SUPPLY UTILIZATION,NPI,DRIVER PAYMENTS (AS % OF GB),RIDER INCENTIVES AND PROMOTIONS (AS % OF GB),DRIVER INCENTIVES AND PROMOTIONS (AS % OF GB),TAKE RATE (AS % OF GB)
2022-01,Vila Belmiro,"3,005,706","56,529,569","5,283,006","711,432","3,257,826","3,844,423","18,795","1,564,816",78.20%,92.30%,61.70%,56.90%,23.00%,20.00%,63.00%,1.03,73.50%,5.70%,5.10%,14.20%
2022-01,Rose Bowl,"1,533,078","25,315,829","2,692,591","406,844","1,638,051","1,859,779","8,742","824,750",82.40%,93.60%,60.80%,56.90%,34.00%,15.00%,59.00%,0.98,76.30%,-3.30%,4.30%,20.50%
2022-01,San Siro,"8,108,570","155,667,588","14,385,079","1,609,850","8,570,326","9,515,128","50,056","4,187,961",85.20%,94.60%,59.60%,56.40%,44.00%,22.00%,73.00%,1.02,78.80%,4.90%,3.60%,10.60%
2022-01,Lusail,"2,163,550","38,225,180","3,939,724","493,960","2,348,175","2,859,544","10,845","1,074,968",75.70%,92.10%,59.60%,54.90%,25.00%,20.00%,70.00%,1.05,76.80%,6.20%,3.60%,11.80%
2022-01,Old Trafford,"11,042,462","206,436,144","19,113,887","2,553,885","11,801,188","13,152,423","63,551","5,202,255",84.00%,93.60%,61.70%,57.80%,46.00%,27.00%,77.00%,1.05,75.60%,-1.40%,3.40%,17.00%
2022-01,Maracan‹,"3,158,396","46,777,267","5,625,987","944,135","3,474,102","4,148,135","23,107","1,217,864",76.10%,90.90%,61.80%,56.10%,29.00%,21.00%,78.00%,1.07,73.20%,3.60%,4.00%,17.10%
2022-01,Azteca,"2,346,353","42,472,359","4,762,317","822,339","2,697,485","3,371,227","19,444","1,067,035",69.60%,87.00%,56.60%,49.30%,25.00%,27.00%,75.00%,1.09,71.80%,-0.80%,4.60%,21.80%
2022-01,Santiago Bernabeu,"2,087,579","28,431,091","4,189,611","840,208","2,542,661","3,392,505","20,017","891,604",61.50%,82.10%,60.70%,49.80%,19.00%,24.00%,69.00%,0.99,72.90%,2.80%,3.50%,18.80%
2022-02,Vila Belmiro,"3,328,917","66,603,991","5,951,388","734,012","3,719,131","4,633,554","19,022","1,683,242",71.80%,89.50%,62.50%,55.90%,18.00%,22.00%,70.00%,1.02,76.40%,8.60%,2.40%,11.30%
2022-02,Rose Bowl,"1,615,062","27,191,097","2,819,001","410,082","1,752,400","2,059,371","8,857","847,022",78.40%,92.20%,62.20%,57.30%,27.00%,16.00%,62.00%,0.97,76.30%,-3.30%,0.00%,24.30%
2022-02,San Siro,"8,324,674","167,308,409","14,819,408","1,589,890","8,881,086","9,977,892","50,771","4,471,329",83.40%,93.70%,59.90%,56.20%,41.00%,24.00%,76.00%,1.04,79.90%,6.30%,1.80%,10.10%
2022-02,Lusail,"2,204,382","39,938,364","3,904,489","469,218","2,422,402","3,071,665","10,891","1,092,538",71.80%,91.00%,62.00%,56.50%,21.00%,21.00%,73.00%,1.01,77.00%,10.50%,1.90%,9.20%
2022-02,Old Trafford,"11,623,184","234,641,668","20,220,647","2,603,203","12,621,666","14,395,358","64,534","5,573,527",80.70%,92.10%,62.40%,57.50%,39.00%,31.00%,80.00%,1.05,76.00%,1.30%,1.80%,15.70%
2022-02,Maracan‹,"3,528,890","56,252,154","6,081,478","958,365","3,874,375","4,613,823","23,227","1,333,954",76.50%,91.10%,63.70%,58.00%,28.00%,22.00%,81.00%,1.03,74.20%,10.50%,3.60%,10.40%
2022-02,Azteca,"2,437,794","43,080,653","4,384,633","701,952","2,750,399","3,426,037","17,828","1,094,994",71.20%,88.60%,62.70%,55.60%,24.00%,25.00%,77.00%,1,73.00%,5.30%,3.40%,16.20%
2022-02,Santiago Bernabeu,"2,195,450","30,984,156","4,298,682","795,244","2,708,811","3,675,638","19,234","909,307",59.70%,81.00%,63.00%,51.10%,17.00%,24.00%,71.00%,0.96,72.90%,7.20%,3.10%,15.10%
2022-03,Vila Belmiro,"3,521,110","72,393,390","6,510,869","768,132","3,894,606","4,755,585","19,761","1,846,721",74.00%,90.40%,59.80%,54.10%,19.00%,22.00%,67.00%,1.04,75.40%,5.40%,2.50%,14.80%
2022-03,Rose Bowl,"1,730,290","30,383,375","3,104,364","433,050","1,859,587","2,139,988","8,979","955,547",80.90%,93.00%,59.90%,55.70%,30.00%,15.00%,59.00%,1.06,77.50%,-5.80%,2.20%,23.20%
2022-03,San Siro,"8,774,009","181,769,215","16,054,797","1,660,051","9,338,450","10,450,965","52,147","4,860,698",84.00%,94.00%,58.20%,54.70%,41.00%,23.00%,74.00%,1.08,79.50%,4.70%,3.20%,10.60%
2022-03,Lusail,"2,381,399","45,569,615","4,404,335","491,921","2,592,664","3,200,679","11,154","1,223,735",74.40%,91.90%,58.90%,54.10%,23.00%,20.00%,72.00%,1.05,77.20%,8.00%,2.90%,10.40%
2022-03,Old Trafford,"12,744,840","280,007,062","23,219,797","2,810,885","13,880,543","16,114,335","66,976","6,318,818",79.10%,91.80%,59.80%,54.90%,38.00%,32.00%,81.00%,1.07,75.60%,3.10%,3.80%,13.10%
2022-03,Maracan‹,"4,108,811","66,605,370","7,012,638","1,026,405","4,443,549","5,214,290","24,436","1,575,231",78.80%,92.50%,63.40%,58.60%,30.00%,20.00%,80.00%,1.03,74.50%,10.10%,5.90%,8.30%
2022-03,Azteca,"2,688,433","47,389,065","4,823,911","720,413","2,970,246","3,560,091","17,658","1,220,800",75.50%,90.50%,61.60%,55.70%,27.00%,23.00%,74.00%,1.02,74.80%,1.80%,5.70%,15.60%
2022-03,Santiago Bernabeu,"2,405,391","34,018,557","4,693,911","832,026","2,918,565","3,903,135","19,744","1,002,926",61.60%,82.40%,62.20%,51.20%,18.00%,23.00%,70.00%,0.95,73.60%,5.50%,4.40%,14.80%
2022-04,Vila Belmiro,"3,485,351","74,206,916","6,410,777","773,739","3,822,199","4,721,690","20,247","1,832,492",73.80%,91.20%,59.60%,54.40%,19.00%,22.00%,67.00%,0.99,76.40%,5.00%,3.90%,13.10%
2022-04,Rose Bowl,"1,706,774","31,050,475","3,063,282","437,324","1,842,212","2,149,018","9,011","916,463",79.40%,92.60%,60.10%,55.70%,28.00%,16.00%,62.00%,1,77.50%,-5.30%,3.60%,21.60%
2022-04,San Siro,"8,678,887","188,981,721","15,472,326","1,641,272","9,237,641","10,494,511","52,790","4,907,960",82.70%,94.00%,59.70%,56.10%,38.00%,25.00%,73.00%,1.03,79.40%,7.70%,3.00%,8.00%
2022-04,Lusail,"2,232,291","43,609,704","4,223,121","488,195","2,459,729","3,109,076","11,315","1,177,199",71.80%,90.80%,58.20%,52.90%,21.00%,21.00%,72.00%,1.04,77.70%,5.60%,4.00%,11.00%
2022-04,Old Trafford,"12,427,848","271,315,698","22,005,607","2,775,225","13,366,385","15,370,135","68,324","6,250,565",80.90%,93.00%,60.70%,56.50%,38.00%,31.00%,80.00%,0.99,77.10%,1.30%,4.30%,13.50%
