COLUMN,ORIGINAL_DATA_TYPE,FINAL_DATA_TYPE
MONTH,str,datetime64[us]
CITY,str,str
TRIPS,str,str
GROSS BOOKINGS (GB),str,str
SHOPPING SESSIONS,str,str
RIDERS WITH SESSIONS,str,str
REQUESTING SESSIONS,str,str
REQUESTS,str,str
ACTIVE DRIVERS,str,str
SUPPLY HOURS,str,str
C/R,str,str
C/RS,str,str
RS/SS,str,str
C/SS,str,str
ACCEPTANCE RATE,str,str
DRIVER CANCELATION,str,str
SUPPLY UTILIZATION,str,str
NPI,float64,float64
DRIVER PAYMENTS (AS % OF GB),str,str
RIDER INCENTIVES AND PROMOTIONS (AS % OF GB),str,str
DRIVER INCENTIVES AND PROMOTIONS (AS % OF GB),str,str
TAKE RATE (AS % OF GB),str,str
