MONTH,CITY,TRIPS,GROSS BOOKINGS (GB),SHOPPING SESSIONS,RIDERS WITH SESSIONS,REQUESTING SESSIONS,REQUESTS,ACTIVE DRIVERS,SUPPLY HOURS,C/R,C/RS,RS/SS,C/SS,ACCEPTANCE RATE,DRIVER CANCELATION,SUPPLY UTILIZATION,NPI,DRIVER PAYMENTS (AS % OF GB),RIDER INCENTIVES AND PROMOTIONS (AS % OF GB),DRIVER INCENTIVES AND PROMOTIONS (AS % OF GB),TAKE RATE (AS % OF GB)
2022-01,Vila Belmiro,"3,005,706","56,529,569","5,283,006","711,432","3,257,826","3,844,423","18,795","1,564,816",78.2%,92.3%,61.7%,56.9%,23.0%,20.0%,63.0%,1.03,73.5%,5.7%,5.1%,14.2%
2022-01,Rose Bowl,"1,533,078","25,315,829","2,692,591","406,844","1,638,051","1,859,779","8,742","824,750",82.4%,93.6%,60.8%,56.9%,34.0%,15.0%,59.0%,0.98,76.3%,-3.3%,4.3%,20.5%
2022-01,San Siro,"8,108,570","155,667,588","14,385,079","1,609,850","8,570,326","9,515,128","50,056","4,187,961",85.2%,94.6%,59.6%,56.4%,44.0%,22.0%,73.0%,1.02,78.8%,4.9%,3.6%,10.6%
2022-01,Lusail,"2,163,550","38,225,180","3,939,724","493,960","2,348,175","2,859,544","10,845","1,074,968",75.7%,92.1%,59.6%,54.9%,25.0%,20.0%,70.0%,1.05,76.8%,6.2%,3.6%,11.8%
2022-01,Old Trafford,"11,042,462","206,436,144","19,113,887","2,553,885","11,801,188","13,152,423","63,551","5,202,255",84.0%,93.6%,61.7%,57.8%,46.0%,27.0%,77.0%,1.05,75.6%,-1.4%,3.4%,17.0%
2022-01,Maracan‹,"3,158,396","46,777,267","5,625,987","944,135","3,474,102","4,148,135","23,107","1,217,864",76.1%,90.9%,61.8%,56.1%,29.0%,21.0%,78.0%,1.07,73.2%,3.6%,4.0%,17.1%
2022-01,Azteca,"2,346,353","42,472,359","4,762,317","822,339","2,697,485","3,371,227","19,444","1,067,035",69.6%,87.0%,56.6%,49.3%,25.0%,27.0%,75.0%,1.09,71.8%,-0.8%,4.6%,21.8%
2022-01,Santiago Bernabeu,"2,087,579","28,431,091","4,189,611","840,208","2,542,661","3,392,505","20,017","891,604",61.5%,82.1%,60.7%,49.8%,19.0%,24.0%,69.0%,0.99,72.9%,2.8%,3.5%,18.8%
2022-02,Vila Belmiro,"3,328,917","66,603,991","5,951,388","734,012","3,719,131","4,633,554","19,022","1,683,242",71.8%,89.5%,62.5%,55.9%,18.0%,22.0%,70.0%,1.02,76.4%,8.6%,2.4%,11.3%
2022-02,Rose Bowl,"1,615,062","27,191,097","2,819,001","410,082","1,752,400","2,059,371","8,857","847,022",78.4%,92.2%,62.2%,57.3%,27.0%,16.0%,62.0%,0.97,76.3%,-3.3%,0.0%,24.3%
2022-02,San Siro,"8,324,674","167,308,409","14,819,408","1,589,890","8,881,086","9,977,892","50,771","4,471,329",83.4%,93.7%,59.9%,56.2%,41.0%,24.0%,76.0%,1.04,79.9%,6.3%,1.8%,10.1%
2022-02,Lusail,"2,204,382","39,938,364","3,904,489","469,218","2,422,402","3,071,665","10,891","1,092,538",71.8%,91.0%,62.0%,56.5%,21.0%,21.0%,73.0%,1.01,77.0%,10.5%,1.9%,9.2%
2022-02,Old Trafford,"11,623,184","234,641,668","20,220,647","2,603,203","12,621,666","14,395,358","64,534","5,573,527",80.7%,92.1%,62.4%,57.5%,39.0%,31.0%,80.0%,1.05,76.0%,1.3%,1.8%,15.7%
2022-02,Maracan‹,"3,528,890","56,252,154","6,081,478","958,365","3,874,375","4,613,823","23,227","1,333,954",76.5%,91.1%,63.7%,58.0%,28.0%,22.0%,81.0%,1.03,74.2%,10.5%,3.6%,10.4%
2022-02,Azteca,"2,437,794","43,080,653","4,384,633","701,952","2,750,399","3,426,037","17,828","1,094,994",71.2%,88.6%,62.7%,55.6%,24.0%,25.0%,77.0%,1.00,73.0%,5.3%,3.4%,16.2%
2022-02,Santiago Bernabeu,"2,195,450","30,984,156","4,298,682","795,244","2,708,811","3,675,638","19,234","909,307",59.7%,81.0%,63.0%,51.1%,17.0%,24.0%,71.0%,0.96,72.9%,7.2%,3.1%,15.1%
2022-03,Vila Belmiro,"3,521,110","72,393,390","6,510,869","768,132","3,894,606","4,755,585","19,761","1,846,721",74.0%,90.4%,59.8%,54.1%,19.0%,22.0%,67.0%,1.04,75.4%,5.4%,2.5%,14.8%
